step,time,channel,effective_output,inst_dominance,smooth_dominance,winner,delta
35,1770939743.622763,D2,0.639684111,0.578930215,0.216903031,D2,0.058929772
36,1770939743.657732,D1,0.465471049,0.420918039,0.161479189,D2,0.060252894
36,1770939743.657732,D2,0.640376185,0.579081961,0.221732083,D2,0.060252894
37,1770939743.686864,D1,0.466084943,0.421148428,0.164941446,D2,0.061552231
37,1770939743.686864,D2,0.640615003,0.578851572,0.226493676,D2,0.061552231
38,1770939743.715620,D1,0.466455805,0.421122349,0.168357191,D2,0.062834938
38,1770939743.715620,D2,0.641193330,0.578877651,0.231192129,D2,0.062834938
39,1770939743.745085,D1,0.466701259,0.421101037,0.171727109,D2,0.064101112
39,1770939743.745085,D2,0.641586818,0.578898963,0.235828220,D2,0.064101112
40,1770939743.781286,D1,0.467012070,0.420996301,0.175050698,D2,0.065353195
40,1770939743.781286,D2,0.642290004,0.579003699,0.240403893,D2,0.065353195
41,1770939743.824564,D1,0.467194121,0.420946416,0.178329308,D2,0.066589915
41,1770939743.824564,D2,0.642671894,0.579053584,0.244919223,D2,0.066589915
42,1770939743.854882,D1,0.467691621,0.420966820,0.181564474,D2,0.067809601
42,1770939743.854882,D2,0.643302401,0.579033180,0.249374075,D2,0.067809601
43,1770939743.896305,D1,0.468094664,0.421035700,0.184757424,D2,0.069011188
43,1770939743.896305,D2,0.643674871,0.578964300,0.253768612,D2,0.069011188
44,1770939743.932342,D1,0.468356633,0.420952995,0.187906698,D2,0.070198959
44,1770939743.932342,D2,0.644253654,0.579047005,0.258105657,D2,0.070198959
45,1770939743.964285,D1,0.468660054,0.420900842,0.191013287,D2,0.071372283
45,1770939743.964285,D2,0.644808980,0.579099158,0.262385570,D2,0.071372283
46,1770939743.994858,D1,0.468834929,0.420840530,0.194077650,D2,0.072531572
46,1770939743.994858,D2,0.645209218,0.579159470,0.266609222,D2,0.072531572
47,1770939744.025362,D1,0.469158221,0.420749664,0.197099944,D2,0.073677827
47,1770939744.025362,D2,0.645894889,0.579250336,0.270777770,D2,0.073677827
48,1770939744.055788,D1,0.469387661,0.420723187,0.200081587,D2,0.074809504
48,1770939744.055788,D2,0.646280966,0.579276813,0.274891091,D2,0.074809504
49,1770939744.088746,D1,0.469773325,0.420687618,0.203023001,D2,0.075927041
49,1770939744.088746,D2,0.646906378,0.579312382,0.278950042,D2,0.075927041
50,1770939744.124778,D1,0.470189436,0.420610966,0.205924174,D2,0.077031721
50,1770939744.124778,D2,0.647683073,0.579389034,0.282955895,D2,0.077031721
51,1770939744.169792,D1,0.470509270,0.420604351,0.208786576,D2,0.078121849
51,1770939744.169792,D2,0.648141237,0.579395649,0.286908425,D2,0.078121849
52,1770939744.206931,D1,0.470865667,0.420609996,0.211610888,D2,0.079197291
52,1770939744.206931,D2,0.648617160,0.579390004,0.290808179,D2,0.079197291
53,1770939744.242541,D1,0.471355056,0.420679106,0.214398464,D2,0.080256551
53,1770939744.242541,D2,0.649107189,0.579320894,0.294655015,D2,0.080256551
54,1770939744.278891,D1,0.471670507,0.420561826,0.217147309,D2,0.081304815
54,1770939744.278891,D2,0.649854267,0.579438174,0.298452124,D2,0.081304815
55,1770939744.315935,D1,0.472140942,0.420657874,0.219860784,D2,0.082336541
55,1770939744.315935,D2,0.650246088,0.579342126,0.302197324,D2,0.082336541
56,1770939744.352910,D1,0.472801127,0.420766271,0.222539523,D2,0.083351620
56,1770939744.352910,D2,0.650865762,0.579233729,0.305891143,D2,0.083351620
57,1770939744.388558,D1,0.473315931,0.420918692,0.225184579,D2,0.084349100
57,1770939744.388558,D2,0.651167109,0.579081308,0.309533679,D2,0.084349100
58,1770939744.424621,D1,0.473755883,0.420953281,0.227794828,D2,0.085332357
58,1770939744.424621,D2,0.651679893,0.579046719,0.313127186,D2,0.085332357
59,1770939744.459962,D1,0.473965375,0.420829380,0.230368622,D2,0.086305809
59,1770939744.459962,D2,0.652299562,0.579170620,0.316674432,D2,0.086305809
60,1770939744.497098,D1,0.474251022,0.420744778,0.232906971,D2,0.087268538
60,1770939744.497098,D2,0.652919288,0.579255222,0.320175509,D2,0.087268538
61,1770939744.538004,D1,0.474545701,0.420698565,0.235410859,D2,0.088219662
61,1770939744.538004,D2,0.653448878,0.579301435,0.323630521,D2,0.088219662
62,1770939744.568110,D1,0.474976347,0.420800885,0.237882726,D2,0.089155376
62,1770939744.568110,D2,0.653767350,0.579199115,0.327038102,D2,0.089155376
63,1770939744.596839,D1,0.475058226,0.420569421,0.240318549,D2,0.090084787
63,1770939744.596839,D2,0.654501370,0.579430579,0.330403335,D2,0.090084787
64,1770939744.631319,D1,0.475472017,0.420610346,0.242722439,D2,0.091000714
64,1770939744.631319,D2,0.654961462,0.579389654,0.333723153,D2,0.091000714
65,1770939744.667302,D1,0.475872264,0.420593327,0.245094051,D2,0.091904882
65,1770939744.667302,D2,0.655558583,0.579406673,0.336998933,D2,0.091904882
66,1770939744.703029,D1,0.476316959,0.420621126,0.247434412,D2,0.092796254
66,1770939744.703029,D2,0.656096345,0.579378874,0.340230666,D2,0.092796254
67,1770939744.738916,D1,0.476443476,0.420542565,0.249742521,D2,0.093677835
67,1770939744.738916,D2,0.656482216,0.579457435,0.343420356,D2,0.093677835
68,1770939744.774382,D1,0.476786435,0.420521796,0.252019578,D2,0.094548216
68,1770939744.774382,D2,0.657010765,0.579478204,0.346567794,D2,0.094548216
69,1770939744.809899,D1,0.477153425,0.420563018,0.254266824,D2,0.095405893
69,1770939744.809899,D2,0.657405261,0.579436982,0.349672716,D2,0.095405893
70,1770939744.846037,D1,0.477568822,0.420525370,0.256483604,D2,0.096253138
70,1770939744.846037,D2,0.658079242,0.579474630,0.352736742,D2,0.096253138
71,1770939744.886625,D1,0.477734618,0.420383255,0.258668933,D2,0.097092876
71,1770939744.886625,D2,0.658691756,0.579616745,0.355761809,D2,0.097092876
72,1770939744.916411,D1,0.478121572,0.420257897,0.260823452,D2,0.097924760
72,1770939744.916411,D2,0.659564539,0.579742103,0.358748213,D2,0.097924760
73,1770939744.946066,D1,0.478488396,0.420293624,0.262949721,D2,0.098744600
73,1770939744.946066,D2,0.659973785,0.579706376,0.361694321,D2,0.098744600
74,1770939744.981431,D1,0.478771156,0.420231189,0.265046808,D2,0.099555174
74,1770939744.981431,D2,0.660533038,0.579768811,0.364601981,D2,0.099555174
75,1770939745.016888,D1,0.479134756,0.420196523,0.267115471,D2,0.100355864
75,1770939745.016888,D2,0.661128738,0.579803477,0.367471335,D2,0.100355864
76,1770939745.053383,D1,0.479681825,0.420346503,0.269158551,D2,0.101141879
76,1770939745.053383,D2,0.661476296,0.579653497,0.370300430,D2,0.101141879
77,1770939745.089359,D1,0.479990489,0.420221688,0.271172726,D2,0.101920742
77,1770939745.089359,D2,0.662241105,0.579778312,0.373093469,D2,0.101920742
78,1770939745.122144,D1,0.480322451,0.420226770,0.273160113,D2,0.102689085
78,1770939745.122144,D2,0.662685289,0.579773230,0.375849199,D2,0.102689085
79,1770939745.152774,D1,0.480464316,0.420120047,0.275119579,D2,0.103450030
79,1770939745.152774,D2,0.663171461,0.579879953,0.378569609,D2,0.103450030
